line,intent
I prefer to let the guy ask me.,Preferences/Decisions
I suffer through verbal abuse from my wife.,Support
You will have more friends than you want.,Prediction
It's nice that you get to see pictures of who you are talking to.,Casual Conversation
I need to know what to do.,Advice/Opinion-seeking
"Love me, love me. Oh dear God love me!",Complaints/Rants
It would not be a word. It would be a singing opera.,Humor
I like my life with the exception of her yelling and using swear words.,Complaints/Rants
I know how it is.,Support
Does he have a favorite sports team?,Information
"While you are away, he will do it again and again.",Judging
"I suggest saying ""Look, this is not working out for me anymore"".",Advice/Opinion-seeking
"No sister, I do not think so.",Warning/Caution
"Then kiss her, brother; that works every time.",Advice/Opinion-seeking
Women mature faster than men and some men never mature.,Judging
After that I never bought her another gift.,Complaints/Rants
You can attend you class with her if you would like.,Preferences/Decisions
It will happen when you choose to be wealthy and powerful.,Opinion
"Please don't beg for love, money or respect.",Advice/Opinion-seeking
You will definitely know when you are in love.,Support
Do not base your relationship on money or material items.,Advice/Opinion-seeking
"What if someone asked this question: ""How can I get my boyfriend to notice me?""",Advice/Opinion-seeking
I am unable to sign in at the chat room.,Complaint/Criticism
"If you just live with a friend, I call that friend with rights.",Opinion
"It is hard to tell from this question, but it seems like you are trying to change yourself, and that is a bad idea.",Assessing/Judging
"I don't know what he is thinking, sometimes we just sit and watch.",Casual Conversation
Go France and see for yourself.,Advice/Opinion-seeking
She was aware I was previously dating someone that was married.,Information Sharing
You should not let what other people say bother you.,Advice/Opinion-seeking
I wish you good fortune no matter what course you take.,Support
"The caveat is that you and I are not married, and this is acceptable to me.",Preferences/Decisions
I recommend that high school students do not date anyone who is still in middle school.,Advice/Opinion-seeking
"If this tactic is not successful with one person, then just keep trying with others.",Advice/Opinion-seeking
"You may want to inform this man that if he makes one more phone call to you, it will result in the loss of his job.",Advising
"After that, a gentleman got involved who changed everything!",Casual Conversation
"I am willing to do so, as long as the four of you are as well!",Preferences/Decisions
"Contrary to what other say, they are not born that way.",Judging
I think you should try a different kind of female.,Advice/Opinion-seeking
She and tend to cross paths every now and then.,Casual Conversation
"You should say yes, if you love him.",Advice/Opinion-seeking
It would be wise to separate from him as soon as possible.,Advice/Opinion-seeking
I have learned to love myself which is something I was unable to do in the past.,Personal Experiences/Recommendations
I have trouble meeting girls because I attend a school with only boys.,Support
Please talk and do not rush your words,Request/Casual Conversation
You should go and play with your dolls,Snark/Sarcasm
do you talk to that person often?,Information Seeking
"With no level of committment, is that concidered double dating?",Advice/Opinion-seeking
"It is not the size of the breast that is attractive, but how well one carries herself.",Preferences/Decisions
You simply have to do that which makes her happy.,Advice/Opinion-seeking
"Yes, though I suppose it depends on the vows.",Assessing/Judging
Perhaps you should be asking where the sexually transmitted diseases are in Kay's.,Warning/Caution
That means you do not have to antagonize her any longer.,Advice/Opinion-seeking
"In that case, ask her to accompany you to the next school dance or to see a movie.",Advice/Opinion-seeking
"Is something happening with your friend, or with hers?",Inquiry
"But, do not mistake my meaning, do not give way and become submissive. Find a compromise.",Advice/Opinion-seeking
"It may not succeed if you are truly cowardly, and therefore become more fearful than the woman is.",Advice/Opinion-seeking
I believe that wound depend on whether her and her husband have an open marriage.,Advice/Opinion Seeking
"She wishes to enjoy herself, and that is why she has entered into an affair with you. Do not take this relationship too seriously.",Advice/Opinion-seeking
Just say that for the moment you just want to be friends.,Advice/Opinion-seeking
That is because they are just not doing their job!,Complaints/Rants
It would be good to get out of there now while it is possible.,Advice/Opinion-seeking
"Yes, that is true if they are addicted sexually to it, but that would mean they need to see a sex therapist.",Advice/Opinion-seeking
"Personally, I think young men are sexy, as long as they are more than 25 years old.",Preferences/Decisions
It is because boys are not mature enough yet to know what they want or what they have.,Judging
Five feet tall and 135 pounds sounds very good to me.,Preferences/Decisions
Please seek mental help from a professional.,Support
If that is true I would not be surprised if he is unfaithful again.,Judging
"If he went after another womant he obviously did not care, it is not all her fault.",Assessing/Judging
"If she has yet to bring it up, then it does not need to be talked about.",Advice/Opinion-seeking
Perhaps you could check there first.,Advising/Suggesting
"If you are desiring one of your own, you should try Yahoo Personals. Don't you agree?",Advice/Opinion-seeking
"First, you need to be nice and wait on them.",Advice/Opinion-seeking
Go on. Talk to him and do not hide anything.,Advice/Opinion-seeking
The same qualities you look for in a gentleman.,Preferences/Decisions
Young women who ask young men out are ten times more successful than girls who do not.,Information
So the simple man fell in love one time with his wife and claims it was real love.,Casual Conversation
"Do not retaliate, you should not devalue yourself to her level.",Advice/Opinion-seeking
"Cafes, coffeehouses, malls are all places you could find a girl, depending on what type you are are interested in.",Advice/Opinion-seeking
"If he loves you, he'll appreciate whatever you give him.",Advice/Opinion-seeking
"Since I'm a prude, I'll say marriage.",Preferences/Decisions
"I, for one, am nothing like that.",Judging
You should love them the way they are.,Advice/Opinion-seeking
I married too many times for love before. Now it depends upon how much money we are speaking about!,Humor
"Nicely done, I know she'll definitely love it.",Support
"His father, meanwhile, is obsessing over his new love interest.",Gossip
"Firstly, that's not a friend.",Judging
I hope you'll answer me.,Support
My friends agree with me as well.,Support
"I say love who you love, race shouldn't be an issue.",Opinion
"You shouldn't go any further with this man, please?",Advice/Opinion-seeking
Utilize terminology that reminds him of better times in the past.,Advice/Opinion-seeking
Do you have any idea where I should go meet them?,Information Seeking
"If you really like her, go as a group at first.",Advice/Opinion-Seeking
"""Closer"" performed by Nine Inch Nails is the most sexually relevant song ever to exist.",Opinion/Assessing
They are committing the very actions they accuse you of.,Judging
"Besides the previously mentioned advice, merely act as you normally would.",Advice/Opinion-seeking
Be amusing and slightly arrogant.,Humor
Merely inform him of your feelings of not liking him in the manner he desires and tell him not to revisit the subject.,Advice/Opinion-Seeking
See it like that and forget about him or her.,Advice/Opinion-seeking
Women want a man who will never cheat on them.,Preferences/Decisions
Something to look at or play with.,Casual Conversation
My dress was long wit ha fifteen foot train!,Casual Conversation
You will be happy when you communicate and be yourself.,Advice/Opinion-Seeking
"You still got the wrong answer, even though you thought that you had the right answer.",Assessing/Judging
"Last time i was injured, so it's just me this time.",Casual Conversation
Call him and talk with him about the matter.,Advice/Opinion-seeking
"Most likely, you'll never find a significant other that likes you for your personality, or even if you like him.",Judging
Just explain to them that you love them very much.,Advice/Opinion-seeking
It would have to be someone that I'm familiar with.,Preferences/Decisions
Do you even know her? She doesn't feel the same way about you. You should talk with her.,Advice/Opinion-seeking
"Now, do not let the other person read it.",Warning/Caution
"Obviously, you should make sure that the best friend wouldn't have a problem with it.",Advice/Opinion-seeking
"I heard that it doesn't really matter. What does matter, however, is how you use it.",Opinion
You should date for someone you find is attractive as beauty is in the eye of the beholder.,Advice/Opinion-seeking
It is not as bad as everyone makes it sound.,Judging
You will like each other better if you sleep together.,Advice/Opinion-seeking
"Also, you probably should not have a girlfriend.",Judging
"Both, I am just guessing that it matters because of the levels of comfort and perhaps psychological reasons for men.",Speculating/ Assessing
"Maybe you can relive that, then make it even better.",Advice/Opinion-seeking
"Being in love never hurts, but losing love does.",Emotional Expression
My best friend had many reasons why she didn't approve of my boyfriend.,Assessing/ Judging
"If I were in your shoes I would buy him something he enjoys, like a sweatshirt or something of the sort.",Advice/Opinion-seeking
Get together with your friends and have a great time!,Casual Conversation
"Yes, the reason why you proposed is because she would be worth the new thought.",Assessing/Judging
If you need help ask just ask him for it. I think he would rather help than get yelled at and stuff.,Advice/Opinion-seeking
The best way to handle something like this is to just say it.,Advice/Opinion-seeking
We need someone who can take care of us in the long run. Men are big babies.,Complaints/Rants
Girls like it when you compliment their breasts.,Opinion-seeking
Guys just do not notice that girls have bowel movements.,Opinion
"I do not like the thought of something that untraditional, but, of course, it is okay.",Preferences/Decisions
"I can only speak for myself, a fun-loving guy.",Self-expression
Think about what it is you want from a wife.,Advice/Opinion-seeking
Maybe you should try it.,Advice/Opinion-seeking
You can find people online or where you live.,Information
Get it out in the open!,Advice/Opinion-seeking
There are a lot of chat rooms for Seattle on craigslist.com.,Information
She might be more shy than you know because that is nonthreatening.,Causality
"I love Jesse, too, even though he is dating Katie Cassidy.",Socio-emotional (Casual Conversation)
You can buy a nice blanket to keep you warm.,Advice/Opinion-seeking
A good friend will be a good listener who will not hurt your feelings.,Advice/Opinion-seeking
