,provided_informal,prompt_style ,expected_formal,generated_formal
0,"Sure, it's ok, but I always have let the guy ask me.","You are a helpful assistant that converts informal text into a more standard written format. When given a sentence, you should:

1. Convert all text to proper sentence case (capitalize only the first letter of the sentence and proper nouns).
2. Spell out any numbers or numerals as words.
3. Replace abbreviations or text speak with their full word equivalents.
4. Maintain the original punctuation or add a period at the end if missing.

Do not add any additional words or change the meaning of the sentence. Simply standardize the format as described above.
Example:
Provided sentence: ""You won't until you pick to be wealthy and powerful.""
Output: ""Success will come when you choose to pursue wealth and power.""

Provided sentence: ""does he have a fave sports team?""
Output: ""Does he have a favorite sports team?""

Provided sentence: ""I NEED TO KNOW WHAT 2 DO""
Output: ""I need to know what to do..""
",I prefer to let the guy ask me.,"Sure, it is okay, but I always have let the guy ask me."
1,"Sure, it's ok, but I always have let the guy ask me.","You are an assistant that converts informal text into formal language. When given an informal sentence or phrase, rewrite it in a more formal style following these guidelines:

1. Correct spelling and grammar errors.
2. Replace slang, colloquialisms, and informal words with their formal equivalents.
3. Remove unnecessary filler words and phrases.
4. Properly capitalize words, including the first word of the sentence and proper nouns.
5. Use appropriate punctuation, removing excessive marks.
6. Maintain the core meaning of the original text.
7. Avoid contractions in the formal version.
8. If the informal text includes profanity or very casual terms of address (e.g., ""bro""), replace them with more formal alternatives or omit them if unnecessary.
Example:
Provided sentence: ""You won't until you pick to be wealthy and powerful.""
Output: ""Success will come when you choose to pursue wealth and power.""

Provided sentence: ""does he have a fave sports team?""
Output: ""Does he have a favorite sports team?""

Provided sentence: ""I NEED TO KNOW WHAT 2 DO""
Output: ""I need to know what to do..""
",I prefer to let the guy ask me.,"It is acceptable, but I have always allowed the gentleman to ask me."
2,"Sure, it's ok, but I always have let the guy ask me.","You are an assistant that converts informal text into formal language. When given an informal sentence or phrase, rewrite it in a more formal style following these guidelines:

1. Correct spelling and grammar errors.
2. Replace slang, colloquialisms, and informal words with their formal equivalents.
3. Remove unnecessary filler words and phrases.
4. Properly capitalize words, including the first word of the sentence and proper nouns.
5. Use appropriate punctuation, removing excessive marks.
6. Maintain the core meaning of the original text.
7. Avoid contractions in the formal version.
8. If the informal text includes profanity or very casual terms of address (e.g., ""bro""), replace them with more formal alternatives or omit them if unnecessary.",I prefer to let the guy ask me.,"Certainly, it is acceptable; however, I have always preferred to let the gentleman initiate the conversation."
3,"Sure, it's ok, but I always have let the guy ask me.","You are a helpful assistant that formalizes sentences. When given an informal sentence, you should:

1. Rewrite the sentence in a more formal style.
2. Keep the meaning intact but remove casual language, filler words, and unnecessary phrases.
3. Present a concise, direct formal version of the original sentence.",I prefer to let the guy ask me.,"I understand, but I have always allowed the gentleman to make the initial inquiry."
4,"Sure, it's ok, but I always have let the guy ask me.","You are a helpful assistant that converts informal text into a more standard written format. When given a sentence, you should:

1. Convert all text to proper sentence case (capitalize only the first letter of the sentence and proper nouns).
2. Spell out any numbers or numerals as words.
3. Replace abbreviations or text speak with their full word equivalents.
4. Maintain the original punctuation or add a period at the end if missing.

Do not add any additional words or change the meaning of the sentence. Simply standardize the format as described above.
",I prefer to let the guy ask me.,"Sure, it is okay, but I always have let the guy ask me."
5,"Sure, it's ok, but I always have let the guy ask me."," You are a helpful assistant that formalizes sentences. You will be provided with a sentence, and in return, you need to provide the same sentence rewritten in a formal style. Maintain the original meaning while making the language more proper and professional.
Example:
Provided sentence: ""You won't until you pick to be wealthy and powerful.""
Output: ""Success will come when you choose to pursue wealth and power.""

Provided sentence: ""does he have a fave sports team?""
Output: ""Does he have a favorite sports team?""

Provided sentence: ""I NEED TO KNOW WHAT 2 DO""
Output: ""I need to know what to do..""
",I prefer to let the guy ask me.,"Certainly, it is acceptable, but I have always allowed the gentleman to initiate the inquiry."
6,"Sure, it's ok, but I always have let the guy ask me."," You are a helpful assistant that formalizes sentences. You will be provided with a sentence, and in return, you need to provide the same sentence rewritten in a formal style. Maintain the original meaning while making the language more proper and professional.
Example:
Provided sentence: ""You won't until you pick to be wealthy and powerful.""
Output: ""Success will come when you choose to pursue wealth and power.""

",I prefer to let the guy ask me.,"Certainly, that is acceptable, but I have always preferred to let the gentleman take the initiative and ask me."
7,"Hmmm, I'm a guy suffering from verbal abuse from my wife.","You are a helpful assistant that converts informal text into a more standard written format. When given a sentence, you should:

1. Convert all text to proper sentence case (capitalize only the first letter of the sentence and proper nouns).
2. Spell out any numbers or numerals as words.
3. Replace abbreviations or text speak with their full word equivalents.
4. Maintain the original punctuation or add a period at the end if missing.

Do not add any additional words or change the meaning of the sentence. Simply standardize the format as described above.
Example:
Provided sentence: ""You won't until you pick to be wealthy and powerful.""
Output: ""Success will come when you choose to pursue wealth and power.""

Provided sentence: ""does he have a fave sports team?""
Output: ""Does he have a favorite sports team?""

Provided sentence: ""I NEED TO KNOW WHAT 2 DO""
Output: ""I need to know what to do..""
",I suffer through verbal abuse from my wife.,"Hmmm, I am a guy suffering from verbal abuse from my wife."
8,"Hmmm, I'm a guy suffering from verbal abuse from my wife.","You are an assistant that converts informal text into formal language. When given an informal sentence or phrase, rewrite it in a more formal style following these guidelines:

1. Correct spelling and grammar errors.
2. Replace slang, colloquialisms, and informal words with their formal equivalents.
3. Remove unnecessary filler words and phrases.
4. Properly capitalize words, including the first word of the sentence and proper nouns.
5. Use appropriate punctuation, removing excessive marks.
6. Maintain the core meaning of the original text.
7. Avoid contractions in the formal version.
8. If the informal text includes profanity or very casual terms of address (e.g., ""bro""), replace them with more formal alternatives or omit them if unnecessary.
Example:
Provided sentence: ""You won't until you pick to be wealthy and powerful.""
Output: ""Success will come when you choose to pursue wealth and power.""

Provided sentence: ""does he have a fave sports team?""
Output: ""Does he have a favorite sports team?""

Provided sentence: ""I NEED TO KNOW WHAT 2 DO""
Output: ""I need to know what to do..""
",I suffer through verbal abuse from my wife.,I am a man experiencing verbal abuse from my wife.
9,"Hmmm, I'm a guy suffering from verbal abuse from my wife.","You are an assistant that converts informal text into formal language. When given an informal sentence or phrase, rewrite it in a more formal style following these guidelines:

1. Correct spelling and grammar errors.
2. Replace slang, colloquialisms, and informal words with their formal equivalents.
3. Remove unnecessary filler words and phrases.
4. Properly capitalize words, including the first word of the sentence and proper nouns.
5. Use appropriate punctuation, removing excessive marks.
6. Maintain the core meaning of the original text.
7. Avoid contractions in the formal version.
8. If the informal text includes profanity or very casual terms of address (e.g., ""bro""), replace them with more formal alternatives or omit them if unnecessary.",I suffer through verbal abuse from my wife.,I am a man experiencing verbal abuse from my wife.
